,value
2001-09-11 00:00:00.000000000,0.0
2001-09-11 00:00:08.640764076,0.031419068442742205
2001-09-11 00:00:17.281528152,0.06283813688548441
2001-09-11 00:00:25.922292229,0.09425720532822662
2001-09-11 00:00:34.563056305,0.12567627377096882
2001-09-11 00:00:43.203820382,0.15709534221371102
2001-09-11 00:00:51.844584458,0.18851441065645325
2001-09-11 00:01:00.485348534,0.21993347909919544
2001-09-11 00:01:09.126112611,0.25135254754193764
2001-09-11 00:01:17.766876687,0.28277161598467987
2001-09-11 00:01:26.407640764,0.31419068442742204
2001-09-11 00:01:35.048404840,0.34560975287016427
2001-09-11 00:01:43.689168916,0.3770288213129065
2001-09-11 00:01:52.329932993,0.40844788975564866
2001-09-11 00:02:00.970697069,0.4398669581983909
2001-09-11 00:02:09.611461146,0.47128602664113306
2001-09-11 00:02:18.252225222,0.5027050950838753
2001-09-11 00:02:26.892989298,0.5341241635266175
2001-09-11 00:02:35.533753375,0.5655432319693597
2001-09-11 00:02:44.174517451,0.5969623004121019
2001-09-11 00:02:52.815281528,0.6283813688548441
2001-09-11 00:03:01.456045604,0.6598004372975863
2001-09-11 00:03:10.096809680,0.6912195057403285
2001-09-11 00:03:18.737573757,0.7226385741830708
2001-09-11 00:03:27.378337833,0.754057642625813
2001-09-11 00:03:36.019101910,0.7854767110685551
2001-09-11 00:03:44.659865986,0.8168957795112973
2001-09-11 00:03:53.300630063,0.8483148479540396
2001-09-11 00:04:01.941394139,0.8797339163967818
2001-09-11 00:04:10.582158215,0.911152984839524
2001-09-11 00:04:19.222922292,0.9425720532822661
2001-09-11 00:04:27.863686368,0.9739911217250083
2001-09-11 00:04:36.504450445,1.0054101901677506
2001-09-11 00:04:45.145214521,1.0368292586104928
2001-09-11 00:04:53.785978597,1.068248327053235
2001-09-11 00:05:02.426742674,1.0996673954959773
2001-09-11 00:05:11.067506750,1.1310864639387195
2001-09-11 00:05:19.708270827,1.1625055323814617
2001-09-11 00:05:28.349034903,1.1939246008242037
2001-09-11 00:05:36.989798979,1.225343669266946
2001-09-11 00:05:45.630563056,1.2567627377096882
2001-09-11 00:05:54.271327132,1.2881818061524304
2001-09-11 00:06:02.912091209,1.3196008745951726
2001-09-11 00:06:11.552855285,1.3510199430379148
2001-09-11 00:06:20.193619361,1.382439011480657
2001-09-11 00:06:28.834383438,1.4138580799233993
2001-09-11 00:06:37.475147514,1.4452771483661415
2001-09-11 00:06:46.115911591,1.4766962168088837
2001-09-11 00:06:54.756675667,1.508115285251626
2001-09-11 00:07:03.397439743,1.539534353694368
2001-09-11 00:07:12.038203820,1.5709534221371102
2001-09-11 00:07:20.678967896,1.6023724905798524
2001-09-11 00:07:29.319731973,1.6337915590225947
2001-09-11 00:07:37.960496049,1.6652106274653369
2001-09-11 00:07:46.601260126,1.696629695908079
2001-09-11 00:07:55.242024202,1.7280487643508213
2001-09-11 00:08:03.882788278,1.7594678327935636
2001-09-11 00:08:12.523552355,1.7908869012363058
2001-09-11 00:08:21.164316431,1.822305969679048
2001-09-11 00:08:29.805080508,1.85372503812179
2001-09-11 00:08:38.445844584,1.8851441065645322
2001-09-11 00:08:47.086608660,1.9165631750072745
2001-09-11 00:08:55.727372737,1.9479822434500167
2001-09-11 00:09:04.368136813,1.979401311892759
2001-09-11 00:09:13.008900890,2.010820380335501
2001-09-11 00:09:21.649664966,2.0422394487782434
2001-09-11 00:09:30.290429042,2.0736585172209856
2001-09-11 00:09:38.931193119,2.105077585663728
2001-09-11 00:09:47.571957195,2.13649665410647
2001-09-11 00:09:56.212721272,2.1679157225492123
2001-09-11 00:10:04.853485348,2.1993347909919545
2001-09-11 00:10:13.494249424,2.2307538594346967
2001-09-11 00:10:22.135013501,2.262172927877439
2001-09-11 00:10:30.775777577,2.293591996320181
2001-09-11 00:10:39.416541654,2.3250110647629234
2001-09-11 00:10:48.057305730,2.356430133205665
2001-09-11 00:10:56.698069806,2.3878492016484074
2001-09-11 00:11:05.338833883,2.4192682700911496
2001-09-11 00:11:13.979597959,2.450687338533892
2001-09-11 00:11:22.620362036,2.482106406976634
2001-09-11 00:11:31.261126112,2.5135254754193763
2001-09-11 00:11:39.901890189,2.5449445438621185
2001-09-11 00:11:48.542654265,2.5763636123048608
2001-09-11 00:11:57.183418341,2.607782680747603
2001-09-11 00:12:05.824182418,2.6392017491903452
2001-09-11 00:12:14.464946494,2.6706208176330875
2001-09-11 00:12:23.105710571,2.7020398860758297
2001-09-11 00:12:31.746474647,2.733458954518572
2001-09-11 00:12:40.387238723,2.764878022961314
2001-09-11 00:12:49.028002800,2.7962970914040564
2001-09-11 00:12:57.668766876,2.8277161598467986
2001-09-11 00:13:06.309530953,2.859135228289541
2001-09-11 00:13:14.950295029,2.890554296732283
2001-09-11 00:13:23.591059105,2.9219733651750253
2001-09-11 00:13:32.231823182,2.9533924336177675
2001-09-11 00:13:40.872587258,2.9848115020605097
2001-09-11 00:13:49.513351335,3.016230570503252
2001-09-11 00:13:58.154115411,3.0476496389459937
2001-09-11 00:14:06.794879487,3.079068707388736
2001-09-11 00:14:15.435643564,3.110487775831478
2001-09-11 00:14:24.076407640,3.1419068442742204
2001-09-11 00:14:32.717171717,3.1733259127169626
2001-09-11 00:14:41.357935793,3.204744981159705
2001-09-11 00:14:49.998699869,3.236164049602447
2001-09-11 00:14:58.639463946,3.2675831180451893
2001-09-11 00:15:07.280228022,3.2990021864879315
2001-09-11 00:15:15.920992099,3.3304212549306738
2001-09-11 00:15:24.561756175,3.361840323373416
2001-09-11 00:15:33.202520252,3.393259391816158
2001-09-11 00:15:41.843284328,3.4246784602589004
2001-09-11 00:15:50.484048404,3.4560975287016427
2001-09-11 00:15:59.124812481,3.487516597144385
2001-09-11 00:16:07.765576557,3.518935665587127
2001-09-11 00:16:16.406340634,3.5503547340298693
2001-09-11 00:16:25.047104710,3.5817738024726116
2001-09-11 00:16:33.687868786,3.613192870915354
2001-09-11 00:16:42.328632863,3.644611939358096
